[1-0]R=928004; MaxAge=973; Cached=1, Rsp=0.000141;(0.000000)(0.000000)(0.000000)(0.000139)
[1-0]R=928004; MaxAge=973; Cached=1, Rsp=0.000383;(0.000000)(0.000000)(0.000000)(0.000381)
[1-0]R=928004; MaxAge=973; Cached=0, Rsp=0.026429;(0.012246)(0.005123)(0.008209)(0.000851)
[1-0]R=928005; MaxAge=952; Cached=0, Rsp=0.025945;(0.012221)(0.005126)(0.008202)(0.000396)
[1-0]R=928005; MaxAge=952; Cached=1, Rsp=0.000163;(0.000000)(0.000000)(0.000000)(0.000161)
[1-0]R=928008; MaxAge=943; Cached=0, Rsp=0.025818;(0.012223)(0.005122)(0.008207)(0.000266)
[1-0]R=928008; MaxAge=943; Cached=1, Rsp=0.000293;(0.000000)(0.000000)(0.000000)(0.000291)
[1-0]R=928008; MaxAge=943; Cached=1, Rsp=0.000336;(0.000000)(0.000000)(0.000000)(0.000334)
[1-0]R=928008; MaxAge=943; Cached=1, Rsp=0.000254;(0.000000)(0.000000)(0.000000)(0.000252)
[1-0]R=928008; MaxAge=943; Cached=1, Rsp=0.000684;(0.000000)(0.000000)(0.000000)(0.000682)
[1-0]R=928008; MaxAge=943; Cached=1, Rsp=0.000288;(0.000000)(0.000000)(0.000000)(0.000286)
[1-0]R=928008; MaxAge=4; Cached=1, Rsp=0.000314;(0.000000)(0.000000)(0.000000)(0.000312)
[1-0]R=928008; MaxAge=3; Cached=1, Rsp=0.000242;(0.000000)(0.000000)(0.000000)(0.000240)
[1-0]R=928011; MaxAge=934; Cached=0, Rsp=0.025832;(0.012245)(0.005125)(0.008191)(0.000271)
[1-0]R=928011; MaxAge=934; Cached=1, Rsp=0.000163;(0.000000)(0.000000)(0.000000)(0.000161)
[1-0]R=928012; MaxAge=969; Cached=0, Rsp=0.025926;(0.012239)(0.005125)(0.008194)(0.000368)
[1-0]R=928012; MaxAge=969; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000157)
[1-0]R=928014; MaxAge=954; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=928014; MaxAge=954; Cached=1, Rsp=0.000135;(0.000000)(0.000000)(0.000000)(0.000133)
[1-0]R=928014; MaxAge=954; Cached=1, Rsp=0.000239;(0.000000)(0.000000)(0.000000)(0.000236)
[1-0]R=928014; MaxAge=954; Cached=1, Rsp=0.000146;(0.000000)(0.000000)(0.000000)(0.000144)
[1-0]R=928014; MaxAge=954; Cached=1, Rsp=0.000648;(0.000000)(0.000000)(0.000000)(0.000646)
[1-0]R=928016; MaxAge=939; Cached=0, Rsp=0.025821;(0.012242)(0.005104)(0.008211)(0.000264)
